open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1581940800000,9634.59,9730.00,9461.89,9649.67,73915.773,1581962399999,709925459.77142,160893,35719.182,343187600.34183,0
1581962400000,9649.56,9738.15,9591.10,9716.00,25317.855,1581983999999,244485273.14242,51667,12885.485,124467725.22599,0
1581984000000,9716.00,9818.00,9635.74,9792.18,23719.205,1582005599999,230945358.75241,53586,12052.200,117339915.04058,0
1582005600000,9792.11,9821.00,9645.23,9712.56,30640.604,1582027199999,298303377.95671,79624,14767.381,143793021.66545,0
1582027200000,9711.84,9965.55,9598.00,9952.69,51877.573,1582048799999,507865805.09931,126234,26400.969,258556153.10962,0
1582048800000,9952.90,10270.00,9952.90,10174.32,59881.987,1582070399999,605206072.06749,139382,30799.418,311311644.81497,0
1582070400000,10174.53,10198.88,10090.00,10126.52,25894.920,1582091999999,262421376.46540,52106,12438.963,126065198.20174,0
1582092000000,10126.59,10228.22,10026.08,10213.01,29835.206,1582113599999,301801188.37863,66389,15142.559,153234995.41842,0
1582113600000,10213.01,10286.00,10050.00,10167.87,33047.474,1582135199999,335983448.23218,96069,15904.474,161801474.85197,0
1582135200000,10167.33,10215.00,9293.07,9593.65,98718.327,1582156799999,961614019.76574,227971,42914.205,417840411.91556,0
1582156800000,9593.31,9654.64,9500.00,9570.40,28581.224,1582178399999,273942229.53688,65959,13214.186,126661267.15814,0
1582178400000,9570.40,9642.00,9545.00,9572.96,27322.917,1582199999999,262208987.01124,60231,14014.946,134489505.57700,0
1582200000000,9572.96,9700.00,9382.59,9503.09,62067.496,1582221599999,593697573.17064,149578,29102.926,278508492.54263,0
1582221600000,9502.97,9665.88,9465.00,9601.99,25133.950,1582243199999,240618553.46634,64673,12826.352,122803341.98535,0
1582243200000,9601.51,9740.00,9572.06,9679.16,24810.679,1582264799999,239820828.88664,54315,12957.620,125269111.54202,0
1582264800000,9679.86,9724.60,9616.76,9700.19,20772.391,1582286399999,200955767.89833,46409,10575.536,102318114.67257,0
